GDPQ;LHEM;LPMHU;P16;FM2;FYGM3;PUNEW;CANN;GBRN;DEUN;FRAN;ITAN;JPNN;ESPN;CANRGDP;GBRRGDP;FDRRGDPS;FRARGDP;ITARGDP;JPNGNP85;ESPGDPVS
3756.100098;99708.66667;167.8133341;171497;1818.866699;12.81333319;94.59999847;10828.1061;2367.7479;2674.534;17690.5146;20502.1072;5619.1389;11346;432184;421772;2009.6;2897.2;766952;280980;29252
3771.100098;99745;166.9966634;172020;1853.699992;12.42000008;95.96666718;10670.1012;2357.853;2669.991;17777.0211;20622.7836;5630.3619;11366;426884;425220;2007.6;2916;766476;284785;29394
3754.399902;99543.33333;165.4199982;172521.6667;1894.699992;9.316666921;97.6333313;10512.676;2342.4163;2659.284;17800.015;20440.3172;5623.7815;11346;424096;425788;1995.2;2913.4;755936;285639;29484
3759.600098;99119.66667;164.3433329;173046;1939.833293;7.906666597;97.93333181;10464.1002;2327.5547;2644.899;17801.2107;20412.0108;5680.8414;11325;420716;428228;1993.6;2928.1;758600;288296;29588
3783.5;99143;164.9733327;173505;2040.466634;8.106666724;98;10520.6177;2324.9109;2629.904;17767.203;20493.7399;5720.2989;11214;427860;436656;2007.6;2926.1;765044;289550;29812
3886.5;99945;166.7133331;173957.3333;2097.466715;8.396666527;99.13333384;10632.9265;2330.6318;2623.1;17741.816;20596.4666;5730.1643;11286;437488;437984;2034.4;2940.8;766120;290587;30028
3944.399902;101610.6667;169.1366679;174449.3333;2133.566732;9.140000025;100.100001;10752.7055;2353.1663;2623.611;17730.8636;20559.2746;5734.0946;11296;444516;442216;2038.8;2927.8;770176;294779;30178
4012.100098;102588;171.8166656;174950.3333;2177.166585;8.800000191;101.100001;10796.2455;2370.6533;2623.361;17702.4408;20582.8107;5744.4503;11249;447928;446696;2060;2940.9;776140;295825;30314
4089.5;103664;174.5900014;175678.6667;2220.299967;9.170000076;102.5333328;10822.8071;2382.4562;2626;17646.4484;20607.7088;5728.795;11008;455316;451612;2088.8;2982.1;785224;300372;30361
4144;105040;176.4166616;176125.3333;2266.399984;9.796666463;103.5;10859.6574;2392.1878;2627.596;17590.8527;20528.556;5758.156;10943;465812;449364;2072;2953.5;787700;304780;30441
4166.399902;105362.6667;177.9400024;176595.3333;2302.466634;10.32000001;104.399999;11002.5743;2399.9859;2628.871;17564.2558;20649.3239;5778.5796;10945;471064;449216;2093.6;2969.6;792804;306420;30567
4194.200195;105944.3333;179.2366638;177132.3333;2353.833333;8.803333282;105.3000005;11044.3838;2411.6759;2635.77;17520.2942;20735.3825;5798.9071;10812;476476;454332;2107.6;2984.6;794420;308877;30728
4221.799805;106615.3333;180.3100026;177522.3333;2423.833252;8.183333715;106.2666677;11046.6637;2421.2977;2639.238;17548.4807;20616.4715;5807.7203;10776;482464;461444;2113.6;2992.7;796864;313649;30974
4254.799805;106791;181.2133331;177946.3333;2462.233317;7.459999879;107.2333323;11181.7015;2422.2382;2644.68;17580.3043;20733.8159;5802.207;10771;484124;468720;2128.8;3015;808000;319462;31198
4309;107186.3333;182.1399943;178413.3333;2517.833333;7.106666565;107.899999;11280.3056;2423.889;2652.098;17612.2132;20818.3402;5810.6465;10869;490064;469504;2145.6;3040.5;817124;321297;31449
4333.5;108023.3333;183.7366689;178940.6667;2559.799967;7.166666508;109;11380.5706;2425.3203;2660.012;17659.9029;20777.9403;5806.3617;10872;501096;472616;2144.8;3065.3;820332;326146;31666
4390.5;108734.6667;184.0766652;179825.3333;2594.733317;6.896666686;109.5666656;11486.4378;2423.6254;2672.023;17666.1966;20869.6846;5847.1304;10899;503960;478968;2157.2;3058.5;821564;322827;31822
4387.700195;109205.6667;184.0333354;180320.6667;2662.733317;6.140000025;109.0333328;11516.8282;2425.0957;2681.56;17683.4492;20825.3172;5835.8288;11052;505072;485084;2190;3108;834180;327748;32110
4412.600098;109970;184.9166718;180835.6667;2734.06665;5.523333391;109.6999995;11531.5183;2431.0665;2690.995;17698.4771;20787.4857;5864.2295;11148;507704;490628;2191.2;3119.7;836856;329883;32475
4427.100098;110492;186.0233358;181365.3333;2797.900065;5.353333314;110.4666672;11594.2152;2441.3006;2698.673;17696.0999;20954.1017;5867.285;11220;505928;497808;2203.2;3132.4;844444;334185;32888
4460;111206;187.8200022;182001.3333;2839.866618;5.536666711;111.9000015;11670.45;2450.5432;2699.321;17714.2053;20912.4245;5874.9293;11239;516156;501040;2190;3120.5;846700;335824;33396
4515.299805;112158;189.106664;182526.6667;2861.066732;5.656666597;113.1666667;11811.5189;2476.7428;2704.128;17777.9544;20788.734;5889.6624;11330;520876;507120;2209.2;3159;858208;337488;33915
4559.299805;112866.6667;190.5833384;183016;2884.800049;6.043333371;114.3666687;11907.8773;2496.5417;2707.46;17793.93;20828.2579;5921.2392;11521;531408;516440;2229.2;3193.1;863276;343516;34415
4625.5;113526.6667;191.9866689;183467;2918.733317;5.863333384;115.4333318;12056.4008;2524.5724;2711.728;17820.3466;20825.3234;5957.2331;11594;538480;521860;2253.6;3225.5;873504;350981;34863
4655.299805;114093.3333;193.4166667;183967.3333;2965.033366;5.7233332;116.299998;12163.3321;2503.8885;2716.739;17877.9306;20960.7134;5974.5345;11612;545360;529956;2280;3275;884688;356817;35284
